booking_id,passenger_id,flight_id,booking_date,booking_status,seat_class
800048,502663,703034,2025-08-31,Cancelled,Premium Economy
800049,500874,704168,2025-10-18,Confirmed,Business
800050,506852,702624,2025-07-12,Completed,Business
800051,507695,704480,2025-06-26,Completed,Economy
800052,505437,709843,2025-07-08,Cancelled,Premium Economy
800053,506782,708014,2025-10-05,Completed,Premium Economy
800054,504628,708764,2025-11-23,Confirmed,Business
800055,507445,706136,2025-05-04,Completed,Economy
800056,504806,702272,2025-09-02,Confirmed,Business
800057,505132,706543,2025-04-15,Confirmed,Economy
800058,504364,705059,2024-11-30,Confirmed,Premium Economy
800059,502225,704023,2025-05-24,Cancelled,Economy
800060,509835,706561,2025-02-09,Cancelled,Business
800061,504409,706693,2025-04-04,Confirmed,Premium Economy
800062,501051,703719,2025-01-30,Cancelled,Economy
800063,504633,705990,2025-11-13,Completed,Business
800064,509798,704744,2025-02-10,Completed,Premium Economy
800065,509077,706427,2025-08-30,Cancelled,Premium Economy
800066,509401,708040,2025-11-11,Cancelled,Premium Economy
800067,502968,700710,2025-08-07,Confirmed,Business
800068,507107,708988,2025-07-18,Confirmed,Economy
800069,507947,707048,2025-11-05,Cancelled,Business
800070,505020,707143,2025-06-04,Confirmed,Economy
800071,500387,702956,2025-01-22,Completed,Premium Economy
800072,500737,708205,2025-07-05,Completed,Business
800073,503807,703858,2025-07-18,Completed,Premium Economy
800074,500637,701845,2025-11-18,Completed,Premium Economy
800075,507622,704925,2025-01-14,Confirmed,Premium Economy
800076,506351,709608,2025-12-05,Cancelled,Economy
800077,502692,702367,2024-10-25,Cancelled,Economy
800078,505080,703836,2025-11-10,Confirmed,Economy
800079,500210,707919,2024-10-17,Completed,Economy
800080,509277,704326,2025-10-03,Confirmed,Business
800081,503417,705210,2025-02-25,Completed,Economy
800082,503056,701286,2025-05-07,Confirmed,Business
800083,503452,702846,2025-04-06,Confirmed,Premium Economy
800084,501509,705504,2025-01-06,Confirmed,Business
800085,504677,701181,2025-09-04,Cancelled,Economy
800086,505886,705430,2025-01-02,Cancelled,Economy
800087,500987,700415,2025-01-05,Cancelled,Business
800088,501969,700191,2025-04-12,Confirmed,Business
800089,501451,707653,2024-10-23,Cancelled,Economy
800090,503330,706512,2024-12-17,Cancelled,Economy
800091,507740,707668,2024-10-23,Completed,Economy
800092,501771,706811,2025-01-27,Completed,Economy
800093,506046,706606,2025-03-30,Completed,Economy
800094,502807,707737,2025-04-04,Completed,Business
800095,506519,701367,2025-12-12,Confirmed,Business
800096,502903,708399,2024-12-26,Cancelled,Economy
800097,508431,701504,2025-05-22,Cancelled,Premium Economy
800098,509686,700716,2025-01-05,Completed,Premium Economy
800099,504307,702852,2025-02-19,Cancelled,Premium Economy
800100,503490,708271,2025-06-21,Cancelled,Economy
800101,507897,707631,2025-08-06,Confirmed,Premium Economy
800102,509577,709026,2025-01-21,Confirmed,Business
800103,504213,703441,2025-07-23,Confirmed,Business
800104,505332,702871,2025-04-30,Cancelled,Economy
800105,504524,707549,2024-11-08,Confirmed,Premium Economy
800106,500456,702376,2024-11-16,Cancelled,Economy
800107,507475,706689,2025-02-24,Completed,Business
800108,507500,707289,2025-10-02,Cancelled,Economy
800109,506565,703847,2025-08-28,Confirmed,Premium Economy
800110,505106,704440,2025-01-05,Cancelled,Economy
800111,505096,707084,2024-10-25,Confirmed,Business
800112,500847,708363,2024-10-30,Cancelled,Premium Economy
800113,508042,703520,2025-03-13,Completed,Premium Economy
800114,502223,709335,2025-01-16,Completed,Business
800115,507032,704580,2025-02-04,Confirmed,Premium Economy
800116,506203,705528,2025-09-23,Cancelled,Premium Economy
800117,503872,703922,2025-11-24,Confirmed,Business
800118,505549,701096,2024-12-14,Cancelled,Economy
800119,506283,706777,2024-11-19,Confirmed,Economy
800120,507333,705778,2025-04-20,Cancelled,Premium Economy
800121,502739,709422,2025-07-08,Completed,Business
800122,503685,700234,2024-11-01,Cancelled,Economy
800123,509996,701173,2025-08-09,Completed,Economy
800124,505778,703892,2025-10-14,Confirmed,Business
800125,504498,706194,2024-11-23,Completed,Business
800126,504849,709650,2025-03-25,Cancelled,Business
800127,502284,707113,2025-10-08,Cancelled,Economy
800128,505344,707660,2024-11-06,Cancelled,Business
800129,507523,709451,2025-03-26,Cancelled,Premium Economy
800130,501513,700695,2024-12-25,Confirmed,Economy
800131,504715,701040,2025-07-10,Confirmed,Premium Economy
800132,509356,705899,2024-12-20,Confirmed,Economy
800133,509065,706607,2025-05-09,Completed,Economy
800134,508555,700551,2024-10-03,Cancelled,Premium Economy
800135,502185,707747,2024-12-13,Cancelled,Premium Economy
800136,503864,703753,2025-09-03,Completed,Business
800137,502171,709330,2025-05-06,Confirmed,Business
800138,504926,708726,2024-12-06,Confirmed,Premium Economy
800139,505977,700787,2025-01-16,Confirmed,Business
800140,509351,702264,2025-12-14,Cancelled,Economy
800141,501145,703030,2025-06-11,Cancelled,Economy
800142,507479,709232,2024-10-29,Completed,Economy
800143,505477,701986,2025-12-21,Confirmed,Business
800144,505256,709834,2025-03-13,Cancelled,Economy
800145,504506,709337,2025-02-05,Cancelled,Premium Economy
800146,504464,709642,2025-07-30,Confirmed,Economy
800147,502309,709380,2025-10-29,Cancelled,Economy
800148,509863,708766,2025-11-21,Cancelled,Premium Economy
800149,506222,707278,2025-05-15,Cancelled,Business
800150,507166,704766,2025-10-30,Completed,Business
800151,502541,700172,2024-11-08,Cancelled,Premium Economy
800152,500521,703117,2025-05-31,Cancelled,Business
800153,502199,705693,2025-04-26,Confirmed,Economy
800154,509673,708660,2024-10-19,Cancelled,Economy
800155,508043,709913,2025-10-10,Cancelled,Economy
800156,504417,708349,2024-12-10,Cancelled,Premium Economy
800157,506439,705147,2025-03-15,Confirmed,Business
800158,500679,702939,2025-06-21,Cancelled,Business
800159,500172,704085,2025-01-21,Completed,Premium Economy
800160,508896,708610,2025-04-22,Completed,Premium Economy
800161,503834,708586,2025-06-18,Completed,Economy
800162,509466,709590,2024-12-09,Confirmed,Premium Economy
800163,505546,702733,2025-11-28,Confirmed,Business
800164,503453,708361,2025-06-18,Cancelled,Economy
800165,508830,701064,2025-01-17,Cancelled,Economy
800166,506903,704039,2025-04-02,Confirmed,Economy
800167,507867,708245,2025-11-25,Completed,Business
800168,504298,703321,2024-11-14,Confirmed,Business
800169,502386,708609,2025-09-03,Confirmed,Business
800170,504874,709001,2025-05-20,Cancelled,Premium Economy
800171,501044,709026,2025-07-15,Cancelled,Business
800172,506952,705986,2025-08-22,Confirmed,Business
800173,503959,704637,2024-10-24,Completed,Business
800174,502121,701749,2025-08-20,Confirmed,Premium Economy
800175,508447,709153,2025-12-19,Cancelled,Economy
800176,505463,700846,2025-04-11,Completed,Business
800177,501226,706492,2025-06-14,Completed,Economy
800178,506615,703239,2025-01-21,Cancelled,Business
800179,504952,702817,2024-12-11,Completed,Business
800180,501192,705352,2025-02-12,Cancelled,Economy
800181,509718,707452,2024-11-29,Cancelled,Premium Economy
800182,509869,703080,2025-08-03,Completed,Business
800183,500732,709571,2025-10-03,Cancelled,Economy
800184,507638,709837,2025-06-22,Confirmed,Business
800185,502450,709996,2025-08-30,Completed,Economy
800186,502430,708504,2025-09-02,Cancelled,Economy
800187,508590,707342,2025-08-11,Confirmed,Economy
800188,501944,704941,2025-10-18,Completed,Business
800189,500936,709839,2025-10-16,Completed,Business
800190,503857,701468,2025-12-07,Cancelled,Economy
800191,501478,704800,2025-07-06,Completed,Premium Economy
800192,503724,706923,2025-08-27,Confirmed,Premium Economy
800193,508547,708294,2025-03-07,Confirmed,Business
800194,502491,706019,2025-06-24,Cancelled,Business
800195,503639,703970,2025-12-07,Confirmed,Business
800196,509049,700912,2025-07-15,Cancelled,Premium Economy
800197,501798,706175,2025-04-14,Completed,Premium Economy
800198,503914,704414,2025-04-28,Completed,Economy
800199,505154,708646,2024-11-15,Completed,Premium Economy
800200,506765,708325,2025-01-13,Cancelled,Economy
800201,503026,709364,2025-10-30,Confirmed,Business
800202,508925,707727,2025-03-15,Confirmed,Business
800203,502224,703791,2025-10-10,Completed,Business
800204,506867,702745,2025-12-16,Confirmed,Economy
800205,508160,702779,2025-06-14,Confirmed,Premium Economy
800206,504426,701637,2024-10-25,Completed,Business
800207,509021,705084,2025-11-17,Confirmed,Business
800208,505635,700956,2025-06-14,Cancelled,Economy
800209,508298,706760,2025-09-10,Cancelled,Economy
800210,502091,705335,2025-07-14,Confirmed,Business
800211,508746,706329,2025-10-09,Confirmed,Economy
800212,509355,702956,2025-03-20,Confirmed,Premium Economy
800213,503957,703872,2024-10-22,Cancelled,Premium Economy
800214,507166,707183,2025-05-09,Confirmed,Economy
800215,509807,705102,2025-01-11,Confirmed,Premium Economy
800216,503129,705424,2025-01-11,Confirmed,Economy
800217,509521,703742,2024-10-17,Cancelled,Economy
800218,507566,706038,2024-10-18,Confirmed,Economy
800219,502193,701857,2024-12-28,Confirmed,Premium Economy
800220,504268,703123,2025-08-01,Confirmed,Business
800221,505897,708164,2025-05-04,Cancelled,Premium Economy
800222,502249,705737,2025-07-28,Confirmed,Premium Economy
800223,501277,704070,2025-11-17,Completed,Economy
800224,507731,708466,2025-05-25,Completed,Economy
800225,503948,703032,2025-03-12,Completed,Business
800226,502349,702406,2025-05-03,Cancelled,Economy
800227,508373,709452,2025-07-20,Cancelled,Premium Economy
800228,502333,702545,2024-11-30,Completed,Business
800229,509552,707335,2025-10-28,Cancelled,Economy
800230,505721,706814,2025-07-23,Cancelled,Premium Economy
800231,500252,705201,2025-07-28,Completed,Premium Economy
800232,505485,706474,2025-02-28,Cancelled,Premium Economy
800233,509329,706218,2025-02-07,Confirmed,Premium Economy
800234,503449,703476,2025-03-09,Confirmed,Economy
800235,501738,704356,2025-06-06,Confirmed,Economy
800236,504523,704758,2025-01-16,Cancelled,Economy
800237,501981,702939,2025-03-25,Completed,Economy
800238,502238,702419,2025-10-06,Confirmed,Premium Economy
800239,500701,700719,2025-02-04,Completed,Premium Economy
800240,502762,705164,2025-09-29,Confirmed,Business
800241,501310,706412,2024-12-11,Cancelled,Premium Economy
800242,507908,709298,2024-11-03,Cancelled,Business
800243,509287,700644,2025-03-11,Confirmed,Premium Economy
800244,504922,704328,2025-11-07,Confirmed,Business
800245,502792,701842,2024-11-30,Completed,Business
800246,507499,705496,2025-10-12,Confirmed,Premium Economy
800247,502785,700525,2024-10-09,Cancelled,Premium Economy
800248,506733,702362,2025-03-25,Cancelled,Business
800249,504894,708641,2024-10-22,Completed,Economy
800250,503297,708664,2025-08-10,Confirmed,Economy
800251,506225,703173,2025-02-01,Cancelled,Premium Economy
800252,507429,703360,2025-04-25,Confirmed,Business
800253,500313,706326,2025-09-19,Confirmed,Business
800254,507464,700649,2025-12-16,Completed,Business
800255,508526,700709,2025-11-23,Cancelled,Economy
800256,508823,705480,2025-02-07,Cancelled,Economy
800257,505488,704537,2024-11-20,Confirmed,Business
800258,504646,700789,2025-12-15,Cancelled,Business
800259,505826,707330,2025-01-01,Confirmed,Economy
800260,509956,709523,2025-07-21,Confirmed,Economy
800261,508504,701840,2025-08-06,Cancelled,Business
800262,504964,702313,2025-04-22,Confirmed,Business
800263,502465,705651,2025-08-05,Cancelled,Premium Economy
800264,504911,707184,2025-03-18,Cancelled,Premium Economy
800265,502551,707524,2025-10-05,Completed,Premium Economy
800266,500995,706555,2025-08-07,Completed,Premium Economy
800267,504881,708153,2025-11-01,Confirmed,Economy
800268,503815,708342,2025-06-30,Confirmed,Premium Economy
800269,504747,700515,2024-12-16,Completed,Business
800270,509189,701426,2025-01-31,Confirmed,Economy
800271,508341,702491,2025-07-31,Completed,Business
800272,506764,700972,2025-05-24,Confirmed,Premium Economy
800273,508005,704617,2025-06-06,Confirmed,Premium Economy
800274,508320,703495,2025-01-19,Completed,Premium Economy
800275,502142,702194,2025-06-08,Confirmed,Premium Economy
800276,502865,703860,2025-06-22,Confirmed,Premium Economy
800277,502157,706605,2025-11-15,Completed,Premium Economy
800278,500051,709247,2025-11-11,Completed,Premium Economy
800279,507397,704375,2025-06-17,Confirmed,Premium Economy
800280,507150,706985,2025-10-05,Cancelled,Business
800281,504736,705838,2025-09-17,Confirmed,Economy
800282,505897,703567,2024-11-20,Completed,Business
800283,506876,706934,2025-07-13,Confirmed,Economy
800284,505185,707413,2025-02-12,Completed,Economy
800285,509195,704730,2025-09-03,Cancelled,Business
800286,503495,709866,2025-03-26,Confirmed,Economy
800287,504885,700463,2025-12-02,Cancelled,Economy
800288,501091,708472,2024-11-24,Cancelled,Business
800289,509206,709195,2024-11-05,Completed,Economy
800290,500774,707166,2025-07-13,Confirmed,Premium Economy
800291,507200,708459,2025-05-18,Cancelled,Premium Economy
800292,507827,707109,2025-07-01,Confirmed,Premium Economy
800293,508089,700125,2025-11-26,Completed,Business
800294,509743,709946,2024-12-21,Cancelled,Economy
800295,507780,706724,2024-11-06,Confirmed,Economy
800296,500376,708127,2025-09-17,Cancelled,Business
800297,505753,706955,2024-11-01,Confirmed,Economy
800298,505837,706418,2025-08-11,Confirmed,Economy
800299,506722,708255,2025-06-04,Confirmed,Economy
800300,500514,702284,2024-10-21,Cancelled,Business
800301,500184,703509,2024-10-26,Cancelled,Business
800302,508087,704194,2025-02-15,Completed,Premium Economy
800303,504900,705429,2025-10-03,Confirmed,Business
800304,506069,709690,2024-10-31,Confirmed,Premium Economy
800305,504385,700123,2025-10-07,Completed,Premium Economy
800306,509643,707341,2025-11-24,Completed,Premium Economy
800307,507202,708386,2025-01-21,Confirmed,Business
800308,507808,705122,2025-04-06,Confirmed,Business
800309,500055,701223,2025-05-28,Cancelled,Premium Economy
800310,508174,708790,2025-12-07,Confirmed,Business
800311,502225,708802,2024-10-20,Completed,Premium Economy
800312,507486,702890,2024-10-24,Confirmed,Premium Economy
800313,505962,700190,2025-07-17,Completed,Premium Economy
800314,508664,708811,2024-12-26,Completed,Economy
800315,503547,709567,2025-12-21,Cancelled,Economy
800316,508652,701189,2025-09-15,Completed,Economy
800317,505486,705451,2025-04-07,Cancelled,Premium Economy
800318,501263,705340,2025-10-18,Completed,Premium Economy
800319,503240,703291,2024-12-17,Completed,Economy
800320,506769,702210,2025-10-23,Cancelled,Business
800321,501331,704902,2025-03-01,Completed,Economy
800322,503799,703899,2025-06-07,Cancelled,Business
800323,504321,709596,2024-10-04,Cancelled,Business
800324,502275,709834,2025-07-03,Confirmed,Premium Economy
800325,506975,706618,2025-08-20,Confirmed,Business
800326,502040,702457,2025-09-20,Completed,Business
800327,502320,706198,2025-06-23,Completed,Premium Economy
800328,502029,708316,2025-02-12,Confirmed,Economy
800329,500896,707218,2025-01-17,Cancelled,Business
800330,503019,704874,2024-12-13,Completed,Business
800331,505982,706588,2025-08-12,Completed,Economy
800332,506042,709685,2025-11-03,Confirmed,Economy
800333,506062,701345,2025-02-07,Cancelled,Business
800334,505929,708621,2025-01-20,Cancelled,Premium Economy
800335,502303,702541,2025-06-01,Cancelled,Economy
800336,508711,705659,2025-11-11,Cancelled,Economy
800337,501162,704557,2025-06-16,Confirmed,Economy
800338,501696,704167,2025-04-13,Confirmed,Premium Economy
800339,504735,709360,2025-11-20,Cancelled,Business
800340,507459,707365,2025-08-26,Cancelled,Economy
800341,505804,700382,2025-04-28,Completed,Economy
800342,506841,704575,2025-05-05,Cancelled,Premium Economy
800343,501583,701765,2025-01-26,Cancelled,Premium Economy
800344,501487,709518,2025-02-17,Confirmed,Economy
800345,502536,707327,2025-05-29,Confirmed,Economy
800346,509264,704858,2025-10-29,Confirmed,Business
800347,503666,704328,2025-06-26,Cancelled,Premium Economy
800348,507238,706616,2025-01-05,Cancelled,Business
800349,501800,706570,2024-11-25,Cancelled,Economy
800350,501064,704623,2025-04-09,Confirmed,Business
800351,500525,708889,2025-01-10,Cancelled,Economy
800352,502737,700411,2025-09-17,Confirmed,Business
800353,500193,709484,2024-10-09,Confirmed,Business
800354,509739,707902,2025-12-21,Cancelled,Business
800355,500336,708982,2025-11-05,Cancelled,Premium Economy
800356,509667,704809,2025-01-23,Confirmed,Economy
800357,503138,703160,2025-07-21,Cancelled,Economy
800358,503296,708875,2024-12-21,Confirmed,Business
800359,500854,704901,2024-12-05,Cancelled,Business
800360,501905,707546,2025-08-08,Confirmed,Premium Economy
800361,503997,701272,2025-11-19,Confirmed,Business
800362,506806,706652,2025-08-22,Completed,Business
800363,504195,700829,2025-09-01,Confirmed,Economy
800364,505409,706575,2024-10-14,Cancelled,Economy
800365,506311,703446,2025-07-18,Cancelled,Economy
800366,503255,709183,2025-02-06,Cancelled,Business
800367,507841,703136,2025-08-24,Completed,Business
800368,509071,708692,2025-06-26,Cancelled,Business
800369,500287,705408,2025-03-23,Confirmed,Economy
800370,501168,702716,2025-01-12,Completed,Premium Economy
800371,501991,707880,2025-02-12,Confirmed,Premium Economy
800372,506559,709673,2025-05-19,Confirmed,Premium Economy
800373,502568,702202,2025-10-04,Cancelled,Premium Economy
800374,502863,702448,2025-05-16,Completed,Business
800375,506104,704886,2024-11-06,Cancelled,Economy
800376,508479,708996,2025-10-24,Cancelled,Premium Economy
800377,506584,705255,2025-10-29,Completed,Premium Economy
800378,509672,701495,2025-06-20,Completed,Business
800379,504487,703009,2025-10-16,Completed,Economy
800380,507695,700820,2024-12-20,Completed,Business
800381,503228,708219,2025-11-11,Confirmed,Economy
800382,502027,700737,2025-09-19,Confirmed,Premium Economy
800383,507982,709323,2025-04-09,Cancelled,Economy
800384,504475,701311,2025-12-17,Completed,Economy
800385,503006,708764,2025-10-27,Cancelled,Economy
800386,505240,702415,2025-03-17,Completed,Economy
800387,507583,702181,2025-01-28,Cancelled,Business
800388,509758,706764,2025-10-06,Confirmed,Economy
800389,502898,705834,2025-08-30,Cancelled,Premium Economy
800390,505690,707812,2025-02-10,Cancelled,Premium Economy
800391,506003,700888,2025-01-02,Completed,Economy
800392,505318,700514,2025-06-30,Cancelled,Premium Economy
800393,501584,708433,2025-10-20,Confirmed,Economy
800394,509788,701364,2024-10-12,Cancelled,Premium Economy
800395,502679,707205,2025-07-27,Confirmed,Economy
800396,501230,707171,2025-05-14,Cancelled,Business
800397,504397,705436,2025-08-14,Cancelled,Premium Economy
800398,502125,705604,2025-11-09,Cancelled,Economy
800399,500806,702473,2025-05-17,Completed,Business
800400,505842,709615,2024-12-23,Completed,Premium Economy
800401,508562,709129,2025-03-24,Confirmed,Business
800402,504161,702485,2025-09-20,Completed,Economy
800403,508797,703302,2024-11-10,Confirmed,Premium Economy
800404,508982,700748,2025-06-23,Completed,Economy
800405,502583,707254,2025-06-29,Confirmed,Business
800406,500663,702872,2025-10-15,Completed,Premium Economy
800407,501149,709137,2025-07-09,Cancelled,Economy
800408,500410,705644,2025-07-03,Cancelled,Premium Economy
800409,502392,700533,2025-06-25,Confirmed,Premium Economy
800410,501373,709436,2025-03-04,Confirmed,Business
800411,507300,700275,2025-05-05,Completed,Premium Economy
800412,502197,701446,2025-05-27,Cancelled,Economy
800413,506996,703827,2025-12-22,Completed,Business
800414,501869,708997,2025-09-26,Completed,Economy
800415,500390,709856,2024-11-13,Cancelled,Business
800416,504458,700468,2025-07-21,Cancelled,Economy
800417,501632,703733,2025-03-03,Confirmed,Economy
800418,502808,705611,2025-05-16,Completed,Premium Economy
800419,500665,704069,2025-11-03,Cancelled,Economy
800420,508709,707269,2024-12-22,Confirmed,Business
800421,501340,706766,2025-12-10,Confirmed,Economy
800422,500823,708364,2025-11-10,Confirmed,Business
800423,502896,708681,2025-07-09,Confirmed,Business
800424,507671,709072,2024-12-31,Completed,Premium Economy
800425,502672,701543,2025-03-02,Completed,Business
800426,501281,708859,2025-07-12,Cancelled,Economy
800427,501186,709864,2025-10-29,Completed,Business
800428,509133,707422,2025-11-19,Confirmed,Economy
800429,507590,701815,2025-04-26,Cancelled,Economy
800430,509992,704125,2025-12-21,Cancelled,Premium Economy
800431,502984,709103,2025-12-16,Cancelled,Premium Economy
800432,503601,707087,2024-12-03,Confirmed,Economy
800433,506708,703104,2025-04-06,Cancelled,Premium Economy
800434,503250,700477,2025-01-17,Cancelled,Business
800435,503672,701487,2024-10-23,Confirmed,Business
800436,502562,706129,2024-12-21,Cancelled,Business
800437,501894,703424,2025-07-10,Confirmed,Economy
800438,506047,700524,2025-03-23,Confirmed,Premium Economy
800439,502196,708879,2024-12-25,Confirmed,Economy
800440,506636,700239,2025-02-22,Completed,Business
800441,508864,709543,2024-12-03,Completed,Premium Economy
800442,506806,704751,2024-10-15,Confirmed,Economy
800443,509545,700864,2025-08-13,Cancelled,Business
800444,503015,709681,2025-08-12,Cancelled,Premium Economy
800445,503232,704077,2024-12-26,Confirmed,Premium Economy
800446,508242,703327,2025-06-06,Completed,Economy
800447,504761,702954,2024-12-25,Completed,Premium Economy
800448,504945,705530,2025-05-21,Completed,Business
800449,503664,707251,2025-01-28,Completed,Economy
800450,500979,704299,2025-03-15,Cancelled,Business
800451,503158,705906,2025-01-09,Completed,Economy
800452,503021,708321,2025-11-25,Confirmed,Economy
800453,509243,701049,2024-10-15,Cancelled,Economy
800454,509661,704993,2024-12-29,Completed,Economy
800455,505086,701847,2025-12-17,Confirmed,Premium Economy
800456,505337,704003,2024-11-13,Completed,Business
800457,502506,705038,2025-12-22,Cancelled,Business
800458,504835,700222,2025-01-08,Cancelled,Business
800459,506001,701560,2025-07-01,Confirmed,Business
800460,509012,705017,2025-06-10,Confirmed,Business
800461,501614,700825,2025-06-18,Completed,Premium Economy
800462,506908,705603,2025-08-16,Completed,Premium Economy
800463,500980,702963,2025-01-07,Cancelled,Business
800464,508494,705028,2025-10-08,Completed,Premium Economy
800465,501999,704608,2025-08-12,Completed,Business
800466,503436,707303,2025-01-27,Cancelled,Business
800467,509295,706561,2025-03-07,Completed,Premium Economy
800468,505502,702072,2024-12-10,Confirmed,Economy
800469,509596,701552,2025-03-11,Cancelled,Economy
800470,501917,709588,2025-11-16,Completed,Economy
800471,502232,701877,2025-11-01,Completed,Premium Economy
800472,502994,701946,2024-10-27,Completed,Economy
800473,508432,709648,2025-05-19,Cancelled,Business
800474,506066,705955,2025-07-22,Confirmed,Premium Economy
800475,507211,707393,2024-10-10,Completed,Premium Economy
800476,507959,703504,2025-03-30,Completed,Business
800477,502926,709771,2025-08-01,Completed,Premium Economy
800478,505783,706449,2025-04-22,Confirmed,Business
800479,506274,706388,2025-01-11,Cancelled,Economy
800480,500829,709658,2024-11-30,Confirmed,Business
800481,508111,704561,2025-10-07,Completed,Premium Economy
800482,507567,701367,2025-12-24,Cancelled,Economy
800483,502837,700871,2025-09-20,Cancelled,Premium Economy
800484,501514,708355,2025-11-06,Completed,Economy
800485,502272,705254,2024-12-31,Completed,Business
800486,501722,704610,2024-12-28,Cancelled,Premium Economy
800487,505776,708482,2025-07-13,Confirmed,Premium Economy
800488,504134,705633,2024-10-03,Cancelled,Business
800489,507312,703006,2025-09-04,Completed,Economy
800490,509118,706743,2025-01-16,Confirmed,Business
800491,505577,702664,2025-01-08,Cancelled,Premium Economy
800492,509928,701248,2025-02-08,Cancelled,Economy
800493,504690,704826,2025-03-10,Cancelled,Premium Economy
800494,509860,703493,2024-10-02,Cancelled,Business
800495,502402,702717,2025-09-16,Cancelled,Economy
800496,507154,705522,2025-02-28,Cancelled,Business
800497,509251,700477,2024-12-01,Cancelled,Economy
800498,502106,700688,2024-11-18,Cancelled,Premium Economy
800499,505851,709079,2025-10-23,Cancelled,Business
800500,505093,708067,2025-03-18,Cancelled,Economy
800501,500601,701818,2025-04-10,Cancelled,Economy
800502,502962,701495,2025-03-24,Completed,Premium Economy
800503,507823,705962,2025-02-23,Completed,Business
800504,500490,702724,2025-01-18,Confirmed,Business
800505,508546,702833,2025-10-05,Completed,Economy
800506,505353,701780,2024-10-04,Confirmed,Business
800507,507464,701329,2025-12-21,Completed,Economy
800508,501502,700100,2025-10-02,Completed,Business
800509,503407,705451,2024-10-10,Cancelled,Economy
800510,508366,705226,2025-03-02,Confirmed,Premium Economy
800511,504945,705168,2025-03-16,Cancelled,Business
800512,503141,708681,2024-11-24,Confirmed,Premium Economy
800513,503801,703124,2025-07-10,Cancelled,Business
800514,504399,700056,2025-07-19,Cancelled,Premium Economy
800515,500915,703332,2024-11-30,Cancelled,Business
800516,506237,707430,2025-01-17,Cancelled,Business
800517,509753,703384,2025-03-05,Confirmed,Economy
800518,508725,709159,2025-12-14,Cancelled,Economy
800519,501389,708942,2025-10-27,Cancelled,Premium Economy
800520,504522,701096,2025-07-02,Completed,Economy
800521,509686,707972,2025-11-05,Confirmed,Premium Economy
800522,506416,706178,2025-10-10,Completed,Economy
800523,502981,700281,2025-02-26,Cancelled,Premium Economy
800524,503447,707795,2024-11-07,Completed,Business
800525,508259,708038,2024-11-17,Confirmed,Premium Economy
800526,509109,703953,2025-02-09,Completed,Business
800527,507271,706863,2025-04-12,Completed,Business
800528,503125,704605,2025-02-20,Cancelled,Economy
800529,503116,702290,2025-02-01,Completed,Business
800530,504052,705119,2025-12-15,Cancelled,Business
800531,502048,702923,2025-03-24,Confirmed,Business
800532,502305,706497,2025-07-25,Completed,Economy
800533,500535,701669,2025-09-18,Confirmed,Economy
800534,505151,700662,2025-01-08,Cancelled,Economy
800535,506172,709486,2025-07-10,Cancelled,Premium Economy
