flight_id,flight_no,origin_airport,destination_airport,flight_date,base_fare
700121,FL1120,6026,6027,2025-12-28,55835.56
700122,FL1121,6018,6001,2025-12-01,62587.65
700123,FL1122,6013,6001,2025-11-05,57287.34
700124,FL1123,6018,6002,2025-01-16,26427.56
700125,FL1124,6013,6004,2025-11-07,19757.81
700126,FL1125,6017,6025,2025-11-18,11331.23
700127,FL1126,6027,6022,2025-05-31,4522.54
700128,FL1127,6004,6015,2025-02-26,29967.54
700129,FL1128,6005,6017,2025-08-28,22517.05
700130,FL1129,6005,6024,2025-10-12,40211.63
700131,FL1130,6021,6002,2025-11-24,15130.84
700132,FL1131,6012,6024,2025-07-28,64809.0
700133,FL1132,6005,6023,2025-07-24,23246.0
700134,FL1133,6002,6017,2025-08-16,30305.76
700135,FL1134,6010,6026,2025-11-06,53200.11
700136,FL1135,6025,6018,2025-06-13,69253.37
700137,FL1136,6027,6011,2025-01-26,29534.32
700138,FL1137,6016,6008,2025-01-08,41710.11
700139,FL1138,6014,6021,2025-08-16,11862.2
700140,FL1139,6018,6019,2025-01-07,33871.77
700141,FL1140,6027,6017,2025-03-31,71068.3
700142,FL1141,6012,6007,2025-10-10,55135.65
700143,FL1142,6007,6021,2025-11-29,74954.32
700144,FL1143,6018,6030,2025-12-25,17454.29
700145,FL1144,6018,6021,2025-08-10,31656.26
700146,FL1145,6010,6017,2025-03-05,61078.28
700147,FL1146,6011,6006,2025-11-22,26146.06
700148,FL1147,6013,6016,2025-01-11,74845.28
700149,FL1148,6023,6006,2025-10-21,21176.23
700150,FL1149,6029,6017,2025-08-10,61818.53
700151,FL1150,6028,6003,2025-08-02,12732.54
700152,FL1151,6011,6029,2025-03-28,20957.88
700153,FL1152,6008,6024,2025-04-21,3787.08
700154,FL1153,6030,6023,2025-03-27,14617.04
700155,FL1154,6027,6006,2025-08-21,55274.34
700156,FL1155,6027,6029,2025-11-21,8763.87
700157,FL1156,6004,6029,2025-08-16,23696.72
700158,FL1157,6028,6019,2025-08-03,63322.21
700159,FL1158,6024,6001,2025-02-16,44513.11
700160,FL1159,6024,6028,2025-06-03,32771.96
700161,FL1160,6004,6001,2025-04-20,12037.72
700162,FL1161,6027,6019,2025-03-12,28664.85
700163,FL1162,6007,6025,2025-02-09,12665.16
700164,FL1163,6008,6008,2025-01-10,44412.81
700165,FL1164,6024,6025,2025-04-03,63871.93
700166,FL1165,6013,6006,2025-11-10,11818.43
700167,FL1166,6028,6024,2025-04-21,73995.8
700168,FL1167,6009,6007,2025-02-28,42515.44
700169,FL1168,6026,6001,2025-09-27,60448.82
700170,FL1169,6018,6028,2025-09-06,22254.37
700171,FL1170,6023,6015,2025-05-13,65847.75
700172,FL1171,6008,6011,2025-04-19,51376.74
700173,FL1172,6025,6028,2025-12-28,60179.26
700174,FL1173,6001,6018,2025-12-11,34427.96
700175,FL1174,6014,6001,2025-01-19,58012.9
700176,FL1175,6024,6028,2025-03-10,48605.82
700177,FL1176,6028,6006,2025-05-22,3857.65
700178,FL1177,6014,6005,2025-07-06,9625.59
700179,FL1178,6023,6006,2025-11-23,60605.25
700180,FL1179,6020,6023,2025-04-16,16383.76
700181,FL1180,6017,6005,2025-09-24,58450.39
700182,FL1181,6029,6007,2025-12-24,45788.22
700183,FL1182,6001,6016,2025-09-15,41994.07
700184,FL1183,6027,6028,2025-06-05,54449.97
700185,FL1184,6016,6022,2025-11-03,72704.68
700186,FL1185,6018,6016,2025-08-16,26762.12
700187,FL1186,6018,6011,2025-01-02,46520.19
700188,FL1187,6007,6026,2025-07-14,49419.29
700189,FL1188,6016,6013,2025-12-29,26439.15
700190,FL1189,6026,6008,2025-12-07,61952.68
700191,FL1190,6017,6005,2025-03-12,37194.59
700192,FL1191,6018,6030,2025-04-02,32833.13
700193,FL1192,6016,6020,2025-01-14,46256.39
700194,FL1193,6024,6014,2025-07-20,50718.41
700195,FL1194,6016,6030,2025-12-01,23330.79
700196,FL1195,6012,6001,2025-06-07,43455.47
700197,FL1196,6010,6026,2025-03-11,20991.44
700198,FL1197,6030,6011,2025-12-04,39098.37
700199,FL1198,6013,6026,2025-08-09,54460.93
700200,FL1199,6010,6017,2025-06-09,3758.97
700201,FL1200,6010,6023,2025-05-02,46753.93
700202,FL1201,6008,6030,2025-11-24,50036.72
700203,FL1202,6029,6018,2025-03-22,73251.69
700204,FL1203,6026,6023,2025-11-12,41150.56
700205,FL1204,6013,6001,2025-05-17,74965.07
700206,FL1205,6003,6030,2025-01-05,52805.22
700207,FL1206,6021,6021,2025-07-22,47051.88
700208,FL1207,6018,6021,2025-01-15,67572.68
700209,FL1208,6005,6011,2025-10-13,22567.37
700210,FL1209,6022,6015,2025-12-05,40643.84
700211,FL1210,6025,6020,2025-07-14,33637.84
700212,FL1211,6009,6022,2025-09-20,5511.15
700213,FL1212,6006,6010,2025-02-17,19005.01
700214,FL1213,6008,6028,2025-06-10,44878.2
700215,FL1214,6030,6006,2025-10-29,43201.67
700216,FL1215,6006,6028,2025-11-23,59451.36
700217,FL1216,6008,6018,2025-07-01,40565.88
700218,FL1217,6018,6030,2025-07-07,49984.05
700219,FL1218,6023,6005,2025-12-13,42532.2
700220,FL1219,6003,6015,2025-11-06,64979.69
700221,FL1220,6013,6008,2025-11-18,59451.31
700222,FL1221,6022,6005,2025-05-15,18019.87
700223,FL1222,6024,6026,2025-06-11,49154.66
700224,FL1223,6028,6025,2025-03-17,42674.07
700225,FL1224,6023,6014,2025-05-08,71926.15
700226,FL1225,6019,6013,2025-09-29,50442.06
700227,FL1226,6019,6010,2025-04-04,40355.45
700228,FL1227,6027,6030,2025-04-12,65376.31
700229,FL1228,6028,6028,2025-07-12,19298.26
700230,FL1229,6027,6019,2025-11-15,36551.16
700231,FL1230,6018,6002,2025-01-28,19137.11
700232,FL1231,6002,6011,2025-05-19,15908.78
700233,FL1232,6020,6019,2025-08-19,24041.29
700234,FL1233,6025,6004,2025-01-30,8622.69
700235,FL1234,6023,6019,2025-09-18,58365.91
700236,FL1235,6017,6023,2025-07-26,43412.72
700237,FL1236,6023,6007,2025-11-24,11508.55
700238,FL1237,6030,6028,2025-11-15,51098.27
700239,FL1238,6026,6005,2025-03-03,42322.14
700240,FL1239,6027,6001,2025-06-15,61227.63
700241,FL1240,6027,6002,2025-08-22,6917.32
700242,FL1241,6023,6005,2025-01-12,36095.14
700243,FL1242,6003,6014,2025-06-12,56933.99
700244,FL1243,6008,6006,2025-09-02,14303.46
700245,FL1244,6029,6029,2025-06-01,57728.98
700246,FL1245,6014,6028,2025-07-21,24454.11
700247,FL1246,6011,6016,2025-11-16,39825.62
700248,FL1247,6018,6003,2025-09-22,13971.37
700249,FL1248,6017,6022,2025-06-28,24427.46
700250,FL1249,6027,6010,2025-07-01,3111.98
700251,FL1250,6012,6029,2025-04-29,47660.37
700252,FL1251,6028,6027,2025-06-20,41658.11
700253,FL1252,6008,6010,2025-11-05,6536.87
700254,FL1253,6010,6007,2025-05-16,64231.2
700255,FL1254,6020,6011,2025-07-03,71768.81
700256,FL1255,6004,6029,2025-08-08,18798.01
700257,FL1256,6029,6013,2025-06-07,63934.66
700258,FL1257,6022,6029,2025-05-25,43632.52
700259,FL1258,6030,6025,2025-10-19,43528.62
700260,FL1259,6023,6029,2025-08-11,44527.07
700261,FL1260,6026,6010,2025-07-25,39759.82
700262,FL1261,6010,6002,2025-08-06,28401.45
700263,FL1262,6020,6022,2025-02-06,62634.99
700264,FL1263,6016,6029,2025-07-27,73003.51
700265,FL1264,6008,6003,2025-09-20,37872.74
700266,FL1265,6023,6027,2025-08-02,50770.91
700267,FL1266,6001,6024,2025-03-29,72699.38
700268,FL1267,6008,6013,2025-01-04,71855.07
700269,FL1268,6016,6010,2025-05-02,14045.66
700270,FL1269,6012,6027,2025-05-29,16944.11
700271,FL1270,6006,6030,2025-10-09,15942.11
700272,FL1271,6010,6011,2025-03-30,29970.52
700273,FL1272,6008,6021,2025-08-15,18976.04
700274,FL1273,6006,6013,2025-10-13,55242.99
700275,FL1274,6006,6014,2025-04-16,57237.34
700276,FL1275,6024,6024,2025-05-26,13551.25
700277,FL1276,6010,6025,2025-04-25,51193.99
700278,FL1277,6017,6014,2025-04-30,36845.45
700279,FL1278,6015,6008,2025-08-21,46167.96
700280,FL1279,6003,6001,2025-08-25,30429.2
700281,FL1280,6012,6007,2025-02-24,50358.09
700282,FL1281,6002,6019,2025-02-06,68287.21
700283,FL1282,6021,6003,2025-02-09,9486.6
700284,FL1283,6010,6024,2025-03-04,6800.41
700285,FL1284,6019,6018,2025-01-24,16670.44
700286,FL1285,6029,6029,2025-11-06,69940.93
700287,FL1286,6030,6024,2025-04-16,21614.09
700288,FL1287,6007,6022,2025-07-30,60801.05
700289,FL1288,6012,6025,2025-09-02,40217.12
700290,FL1289,6023,6022,2025-06-28,50875.36
700291,FL1290,6014,6010,2025-10-26,67906.45
700292,FL1291,6018,6020,2025-03-04,52737.01
700293,FL1292,6028,6019,2025-04-20,70798.82
700294,FL1293,6030,6015,2025-11-02,57374.56
700295,FL1294,6001,6023,2025-12-15,9103.04
700296,FL1295,6030,6005,2025-06-27,27640.25
700297,FL1296,6001,6026,2025-06-30,63211.07
700298,FL1297,6003,6009,2025-03-28,48940.5
700299,FL1298,6006,6016,2025-02-06,58808.27
700300,FL1299,6030,6008,2025-08-21,4025.79
700301,FL1300,6015,6018,2025-10-27,31510.76
700302,FL1301,6007,6001,2025-09-30,15310.96
700303,FL1302,6015,6026,2025-07-02,66302.66
700304,FL1303,6027,6021,2025-12-05,37470.42
700305,FL1304,6025,6009,2025-01-07,42550.0
700306,FL1305,6014,6012,2025-02-20,3000.62
700307,FL1306,6007,6012,2025-01-04,59525.57
700308,FL1307,6008,6013,2025-03-01,47143.69
700309,FL1308,6011,6027,2025-12-10,65260.19
700310,FL1309,6014,6010,2025-08-27,52098.83
700311,FL1310,6004,6029,2025-12-07,18038.14
700312,FL1311,6008,6020,2025-03-31,33799.22
700313,FL1312,6007,6018,2025-06-07,54306.54
700314,FL1313,6011,6007,2025-06-17,47983.83
700315,FL1314,6028,6007,2025-07-15,51120.11
700316,FL1315,6010,6008,2025-12-18,36845.53
700317,FL1316,6011,6027,2025-03-29,4162.24
700318,FL1317,6002,6007,2025-04-10,23060.04
700319,FL1318,6005,6029,2025-08-07,46377.95
700320,FL1319,6009,6004,2025-10-21,68150.57
700321,FL1320,6030,6012,2025-12-30,26019.17
700322,FL1321,6024,6011,2025-12-08,74615.57
700323,FL1322,6002,6005,2025-06-15,4810.07
700324,FL1323,6007,6027,2025-06-30,64614.25
700325,FL1324,6024,6006,2025-03-31,6115.76
700326,FL1325,6011,6015,2025-12-05,6733.85
700327,FL1326,6010,6003,2025-12-28,19764.72
700328,FL1327,6018,6019,2025-05-21,30758.19
700329,FL1328,6005,6015,2025-07-31,27913.67
700330,FL1329,6009,6019,2025-10-25,15355.68
700331,FL1330,6018,6017,2025-05-15,24256.6
700332,FL1331,6002,6014,2025-07-08,33989.44
700333,FL1332,6028,6030,2025-01-18,74597.0
700334,FL1333,6013,6007,2025-03-10,52808.09
700335,FL1334,6010,6002,2025-09-01,55891.0
700336,FL1335,6012,6027,2025-04-05,7031.65
700337,FL1336,6023,6029,2025-02-14,62881.08
700338,FL1337,6021,6001,2025-06-27,16931.57
700339,FL1338,6007,6025,2025-10-16,63950.02
700340,FL1339,6005,6006,2025-07-15,64795.52
700341,FL1340,6022,6017,2025-10-09,30624.78
700342,FL1341,6003,6023,2025-07-21,6052.85
700343,FL1342,6009,6019,2025-07-25,47512.89
700344,FL1343,6008,6025,2025-06-28,40666.4
700345,FL1344,6018,6010,2025-04-09,27466.21
700346,FL1345,6013,6024,2025-04-30,57012.73
700347,FL1346,6018,6018,2025-07-03,31258.96
700348,FL1347,6007,6013,2025-12-25,71451.76
700349,FL1348,6011,6002,2025-12-23,31111.32
700350,FL1349,6015,6002,2025-06-16,45589.61
700351,FL1350,6002,6003,2025-07-29,3148.42
700352,FL1351,6021,6012,2025-05-31,36703.09
700353,FL1352,6018,6008,2025-11-18,21552.91
700354,FL1353,6020,6014,2025-01-24,12360.3
700355,FL1354,6010,6001,2025-03-29,29416.17
700356,FL1355,6023,6023,2025-12-27,30268.48
700357,FL1356,6013,6025,2025-11-10,18991.72
700358,FL1357,6025,6006,2025-01-10,56654.63
700359,FL1358,6022,6027,2025-03-27,14724.86
700360,FL1359,6025,6011,2025-04-07,36671.47
700361,FL1360,6015,6029,2025-06-15,67951.4
700362,FL1361,6029,6016,2025-12-17,14325.11
700363,FL1362,6019,6004,2025-10-03,9316.33
700364,FL1363,6017,6011,2025-08-26,61242.86
700365,FL1364,6030,6023,2025-06-15,29019.98
700366,FL1365,6001,6023,2025-07-01,69680.21
700367,FL1366,6025,6004,2025-06-29,73671.99
700368,FL1367,6018,6020,2025-03-07,12628.95
700369,FL1368,6026,6012,2025-12-22,44444.39
700370,FL1369,6006,6024,2025-08-28,7443.22
700371,FL1370,6010,6009,2025-02-21,44340.47
700372,FL1371,6022,6015,2025-09-08,52656.24
700373,FL1372,6008,6012,2025-05-29,68222.96
700374,FL1373,6017,6011,2025-08-23,18078.14
700375,FL1374,6007,6027,2025-03-11,48752.75
700376,FL1375,6020,6027,2025-10-11,28619.05
700377,FL1376,6026,6027,2025-02-10,35216.01
700378,FL1377,6020,6012,2025-09-19,24117.64
700379,FL1378,6005,6023,2025-12-02,16720.83
700380,FL1379,6011,6027,2025-08-25,59492.71
700381,FL1380,6010,6013,2025-07-19,73467.34
700382,FL1381,6023,6011,2025-05-01,54911.21
700383,FL1382,6014,6022,2025-07-08,43625.63
700384,FL1383,6002,6030,2025-06-03,63203.35
700385,FL1384,6014,6026,2025-10-31,67814.77
700386,FL1385,6017,6002,2025-06-26,47196.62
700387,FL1386,6005,6020,2025-10-17,13199.26
700388,FL1387,6016,6007,2025-10-26,49771.6
700389,FL1388,6018,6022,2025-10-27,19398.62
700390,FL1389,6005,6015,2025-09-26,60913.35
700391,FL1390,6015,6006,2025-08-03,25657.43
700392,FL1391,6025,6029,2025-06-29,46692.68
700393,FL1392,6002,6023,2025-11-09,24711.4
700394,FL1393,6016,6007,2025-03-05,72435.89
700395,FL1394,6019,6025,2025-04-07,57419.5
700396,FL1395,6005,6019,2025-12-23,4367.95
700397,FL1396,6010,6020,2025-01-30,43549.12
700398,FL1397,6030,6009,2025-05-09,62798.15
700399,FL1398,6026,6019,2025-03-14,12594.77
700400,FL1399,6003,6004,2025-07-04,41494.83
700401,FL1400,6003,6022,2025-04-19,19246.83
700402,FL1401,6017,6029,2025-06-09,31172.92
700403,FL1402,6017,6001,2025-11-29,67258.43
700404,FL1403,6019,6019,2025-06-18,42813.31
700405,FL1404,6030,6020,2025-09-15,67285.25
700406,FL1405,6024,6019,2025-11-07,15286.59
700407,FL1406,6004,6012,2025-10-30,73507.14
700408,FL1407,6018,6001,2025-11-08,6203.09
700409,FL1408,6027,6003,2025-08-21,62371.04
700410,FL1409,6030,6010,2025-01-24,10525.19
700411,FL1410,6029,6014,2025-01-08,35803.34
700412,FL1411,6021,6026,2025-07-16,68664.56
700413,FL1412,6027,6020,2025-08-31,21152.4
700414,FL1413,6015,6018,2025-08-07,54182.67
700415,FL1414,6024,6025,2025-11-16,41480.42
700416,FL1415,6004,6022,2025-01-14,4740.58
700417,FL1416,6026,6013,2025-08-13,18625.32
700418,FL1417,6002,6016,2025-04-13,69661.06
700419,FL1418,6009,6020,2025-04-14,8648.93
700420,FL1419,6028,6010,2025-07-17,40051.59
700421,FL1420,6027,6009,2025-07-06,71379.17
700422,FL1421,6010,6002,2025-06-14,73797.42
700423,FL1422,6027,6013,2025-09-02,68031.15
700424,FL1423,6027,6022,2025-06-15,41252.64
700425,FL1424,6028,6006,2025-12-31,55984.01
700426,FL1425,6011,6002,2025-07-22,16566.52
700427,FL1426,6004,6030,2025-09-27,53818.64
700428,FL1427,6026,6004,2025-05-11,29356.29
700429,FL1428,6006,6008,2025-04-09,72430.16
700430,FL1429,6022,6021,2025-02-10,13717.96
700431,FL1430,6016,6019,2025-10-09,19832.39
700432,FL1431,6023,6001,2025-09-16,33167.26
700433,FL1432,6029,6001,2025-11-22,55640.97
700434,FL1433,6017,6006,2025-03-24,56106.84
700435,FL1434,6019,6028,2025-12-05,64310.86
700436,FL1435,6009,6006,2025-04-13,5725.12
700437,FL1436,6006,6018,2025-12-19,17613.62
700438,FL1437,6012,6010,2025-03-12,58369.73
700439,FL1438,6018,6003,2025-06-07,9706.43
700440,FL1439,6010,6020,2025-11-22,32200.75
700441,FL1440,6014,6030,2025-11-27,6579.34
700442,FL1441,6030,6027,2025-04-11,41970.63
700443,FL1442,6004,6005,2025-10-08,69352.3
700444,FL1443,6008,6023,2025-10-01,51279.91
700445,FL1444,6019,6026,2025-12-31,44299.12
700446,FL1445,6009,6003,2025-03-18,71856.51
700447,FL1446,6004,6029,2025-03-20,42298.11
700448,FL1447,6015,6030,2025-06-23,26496.15
700449,FL1448,6010,6008,2025-08-03,61824.79
700450,FL1449,6024,6027,2025-07-03,25566.95
700451,FL1450,6009,6016,2025-01-01,49899.75
700452,FL1451,6021,6015,2025-06-22,18130.84
700453,FL1452,6012,6028,2025-04-27,73592.38
700454,FL1453,6016,6018,2025-11-14,38134.4
700455,FL1454,6017,6023,2025-04-14,7482.7
700456,FL1455,6004,6012,2025-03-09,37386.76
700457,FL1456,6015,6015,2025-07-11,7805.12
700458,FL1457,6003,6001,2025-04-25,26200.92
700459,FL1458,6003,6021,2025-02-16,23648.44
700460,FL1459,6017,6028,2025-07-15,12355.33
700461,FL1460,6001,6028,2025-02-19,31766.68
700462,FL1461,6024,6006,2025-06-15,34967.57
700463,FL1462,6030,6027,2025-10-11,10381.11
700464,FL1463,6016,6004,2025-11-27,29455.91
700465,FL1464,6012,6029,2025-07-21,71607.61
700466,FL1465,6003,6023,2025-12-07,74147.83
700467,FL1466,6009,6025,2025-05-16,11716.01
700468,FL1467,6026,6029,2025-01-10,32414.77
700469,FL1468,6007,6024,2025-12-26,6821.9
700470,FL1469,6029,6008,2025-08-07,32541.05
700471,FL1470,6023,6014,2025-10-10,39587.0
700472,FL1471,6022,6011,2025-12-13,31813.58
700473,FL1472,6028,6024,2025-08-21,40930.92
700474,FL1473,6021,6009,2025-06-18,30396.59
700475,FL1474,6015,6029,2025-12-25,11211.28
700476,FL1475,6008,6030,2025-08-24,7535.25
700477,FL1476,6005,6009,2025-03-25,65294.63
700478,FL1477,6010,6024,2025-02-03,34063.85
700479,FL1478,6027,6014,2025-05-25,14678.34
700480,FL1479,6013,6008,2025-05-24,43247.24
700481,FL1480,6002,6010,2025-09-04,38225.12
700482,FL1481,6027,6007,2025-12-22,59770.71
700483,FL1482,6008,6028,2025-05-31,8113.13
700484,FL1483,6002,6027,2025-01-28,38738.49
700485,FL1484,6024,6013,2025-10-06,59045.77
700486,FL1485,6026,6012,2025-04-03,42925.21
700487,FL1486,6029,6026,2025-05-05,38278.77
700488,FL1487,6021,6002,2025-02-26,28435.86
700489,FL1488,6016,6017,2025-01-09,28732.03
700490,FL1489,6005,6020,2025-04-20,62011.46
700491,FL1490,6004,6010,2025-11-03,61368.06
700492,FL1491,6002,6017,2025-03-25,70771.18
700493,FL1492,6015,6014,2025-06-02,50073.58
700494,FL1493,6012,6003,2025-10-13,21800.58
700495,FL1494,6010,6024,2025-11-09,54868.14
700496,FL1495,6022,6021,2025-08-19,10089.1
700497,FL1496,6025,6012,2025-03-30,24243.05
700498,FL1497,6026,6010,2025-07-28,42860.45
700499,FL1498,6029,6024,2025-04-26,45748.12
700500,FL1499,6015,6029,2025-09-02,19946.48
700501,FL1500,6006,6003,2025-04-16,70027.22
700502,FL1501,6017,6017,2025-10-08,11124.74
700503,FL1502,6010,6019,2025-02-10,50227.83
700504,FL1503,6021,6002,2025-03-19,39210.6
700505,FL1504,6003,6023,2025-02-27,39001.36
700506,FL1505,6006,6019,2025-01-10,33723.63
700507,FL1506,6020,6002,2025-04-24,65717.82
700508,FL1507,6015,6029,2025-04-07,9018.03
700509,FL1508,6030,6027,2025-08-04,3563.74
700510,FL1509,6009,6019,2025-05-22,52118.4
700511,FL1510,6003,6009,2025-04-28,16998.55
700512,FL1511,6012,6016,2025-01-01,6715.79
700513,FL1512,6007,6022,2025-07-01,5609.13
700514,FL1513,6020,6018,2025-02-14,65202.23
700515,FL1514,6029,6026,2025-02-28,11510.65
700516,FL1515,6003,6014,2025-02-06,6742.84
700517,FL1516,6027,6015,2025-03-18,12915.22
700518,FL1517,6003,6002,2025-09-01,61443.57
700519,FL1518,6007,6003,2025-08-24,22028.66
700520,FL1519,6017,6003,2025-12-05,15653.42
700521,FL1520,6010,6016,2025-11-16,7957.8
700522,FL1521,6007,6002,2025-02-20,12092.45
700523,FL1522,6030,6029,2025-09-23,19117.85
700524,FL1523,6028,6015,2025-02-12,57795.01
700525,FL1524,6004,6006,2025-03-31,12460.45
700526,FL1525,6027,6028,2025-09-14,53606.53
700527,FL1526,6014,6022,2025-02-10,7903.66
700528,FL1527,6003,6016,2025-11-13,34144.12
700529,FL1528,6027,6014,2025-01-18,60795.82
700530,FL1529,6030,6007,2025-04-01,22692.61
700531,FL1530,6019,6014,2025-12-01,51400.68
700532,FL1531,6022,6016,2025-12-03,21600.79
700533,FL1532,6017,6004,2025-02-28,34043.85
700534,FL1533,6002,6001,2025-03-28,47600.74
700535,FL1534,6008,6014,2025-05-27,3954.89
700536,FL1535,6007,6012,2025-06-26,3770.76
